0,1,2,3
VIPR2,5,1.0,[10]
KCNA1,1,1.0,[10]
CPM,23,0.6388888888888888,[10]
SLC7A7,12,0.631578947368421,[10]
REP15,3,0.6,[10]
FZD10,7,0.5833333333333334,[10]
TBC1D8B,8,0.5714285714285714,[10]
ZNF607,4,0.5714285714285714,[10]
GPR89B,21,0.5675675675675675,[10]
PIGB,18,0.5625,[10]
ZNRF2,5,0.5555555555555556,[10]
KLK5,76,0.5467625899280576,[10]
PLEKHG5,6,0.5454545454545454,[10]
PITX2,6,0.5454545454545454,[10]
LCMT2,9,0.5294117647058824,[10]
HOXD9,10,0.5263157894736842,[10]
USP30,17,0.5,[10]
EPHX4,14,0.5,[10]
ZBTB6,4,0.5,[10]
SLC26A6,3,0.5,[10]
C3orf80,1,0.5,[10]
GAREM1,14,0.4827586206896552,[10]
ANOS1,9,0.47368421052631576,[10]
CHADL,7,0.4666666666666667,[10]
DET1,18,0.46153846153846156,[10]
DCUN1D2,6,0.46153846153846156,[10]
CHST6,5,0.45454545454545453,[10]
HCCS,22,0.4489795918367347,[10]
PIGN,13,0.4482758620689655,[10]
SFXN2,16,0.4444444444444444,[10]
PXYLP1,12,0.4444444444444444,[10]
TMEM181,21,0.4375,[10]
C4orf46,9,0.42857142857142855,[10]
RGP1,17,0.425,[10]
ZNF280B,10,0.4166666666666667,[10]
MYB,5,0.4166666666666667,[10]
GGACT,5,0.4166666666666667,[10]
ST6GALNAC1,28,0.4117647058823529,[10]
PI4KA,18,0.4090909090909091,[10]
R3HCC1L,8,0.4,[10]
KCNAB2,2,0.4,[10]
FH,27,0.39705882352941174,[10]
FBXL4,15,0.39473684210526316,[10]
TMEM17,11,0.39285714285714285,[10]
NMNAT3,18,0.391304347826087,[10]
WDFY1,24,0.3870967741935484,[10]
PPP1R14A,30,0.38461538461538464,[10]
HMGCL,40,0.38095238095238093,[10]
IGSF10,8,0.38095238095238093,[10]
TCTN2,8,0.38095238095238093,[10]
FASTKD3,9,0.375,[10]
SLC30A4,6,0.375,[10]
NOTCH2NL,3,0.375,[10]
DHX35,3,0.375,[10]
MORC2-AS1,3,0.375,[10]
KLHL21,10,0.37037037037037035,[10]
PSMG3-AS1,10,0.37037037037037035,[10]
UBE2G1,24,0.36923076923076925,[10]
STK3,28,0.3684210526315789,[10]
NINJ2,7,0.3684210526315789,[10]
TYRO3,7,0.3684210526315789,[10]
TJP3,12,0.36363636363636365,[10]
SPAG17,4,0.36363636363636365,[10]
CYP4B1,32,0.3595505617977528,[10]
MKS1,10,0.35714285714285715,[10]
CCDC102A,5,0.35714285714285715,[10]
PARD6G,5,0.35714285714285715,[10]
ZBTB17,11,0.3548387096774194,[10]
PSORS1C1,17,0.3541666666666667,[10]
TRAPPC11,7,0.35,[10]
OTULIN,7,0.35,[10]
INPP5K,15,0.3488372093023256,[10]
CHMP4C,35,0.3465346534653465,[10]
CXorf56,19,0.34545454545454546,[10]
HSPA12A,10,0.3448275862068966,[10]
CEP162,11,0.34375,[10]
IGSF9,12,0.34285714285714286,[10]
WDR5B,13,0.34210526315789475,[10]
FAM35A,14,0.34146341463414637,[10]
KRI1,16,0.3404255319148936,[10]
SLC25A17,18,0.33962264150943394,[10]
C1orf210,21,0.3387096774193548,[10]
